name,title,amount,desc,type,utf8,func
kg,!,,Mass of the international prototype,primitive,,
kilogram,kg,,,primitive,,
s,!,,Duration of 9192631770 periods of the radiation,primitive,,
second,s,,corresponding to the transition between the two hyperfine,primitive,,
m,!,,Length of the path traveled by light in a vacuum,primitive,,
meter,m,,during 1|299792458 seconds.  Originally meant to be,primitive,,
A,!,,The current which produces a force of 2e-7 N/m between two,primitive,,
ampere,A,,infinitely long wires that are 1 meter apart,primitive,,
amp,ampere,,,primitive,,
cd,!,,Luminous intensity in a given direction of a source which,primitive,,
candela,cd,,emits monochromatic radiation at 540e12 Hz with radiant,primitive,,
mol,!,,The amount of substance of a system which contains as many,primitive,,
mole,mol,,elementary entities as there are atoms in 0.012 kg of,primitive,,
K,!,,1|273.16 of the thermodynamic temperature of the triple,primitive,,
kelvin,K,,point of water,primitive,,
radian,!dimensionless,,The angle subtended at the center of a circle by,primitive,,
sr,!dimensionless,,Solid angle which cuts off an area of the surface,primitive,,
steradian,sr,,of the sphere equal to that of a square with,primitive,,
B,!,,,primitive,,
byte,B,,,primitive,,
bit,B,1|8,Basic unit of information (entropy).  The entropy in bits,primitive,,
yotta-,1e24,,"Greek or Latin octo, ""eight""",prefix,,
zetta-,1e21,,"Latin septem, ""seven""",prefix,,
exa-,1e18,,"Greek hex, ""six""",prefix,,
peta-,1e15,,"Greek pente, ""five""",prefix,,
tera-,1e12,,"Greek teras, ""monster""",prefix,,
giga-,1e9,,"Greek gigas, ""giant""",prefix,,
mega-,1e6,,"Greek megas, ""large""",prefix,,
myria-,1e4,,Not an official SI prefix,prefix,,
kilo-,1e3,,"Greek chilioi, ""thousand""",prefix,,
hecto-,1e2,,"Greek hekaton, ""hundred""",prefix,,
deca-,1e1,,"Greek deka, ""ten""",prefix,,
deka-,deca,,,prefix,,
deci-,1e-1,,"Latin decimus, ""tenth""",prefix,,
centi-,1e-2,,"Latin centum, ""hundred""",prefix,,
milli-,1e-3,,"Latin mille, ""thousand""",prefix,,
micro-,1e-6,,"Latin micro or Greek mikros, ""small""",prefix,,
nano-,1e-9,,"Latin nanus or Greek nanos, ""dwarf""",prefix,,
pico-,1e-12,,"Spanish pico, ""a bit""",prefix,,
femto-,1e-15,,"Danish-Norwegian femten, ""fifteen""",prefix,,
atto-,1e-18,,"Danish-Norwegian atten, ""eighteen""",prefix,,
zepto-,1e-21,,"Latin septem, ""seven""",prefix,,
yocto-,1e-24,,"Greek or Latin octo, ""eight""",prefix,,
quarter-,1|4,,,prefix,,
semi-,0.5,,,prefix,,
demi-,0.5,,,prefix,,
hemi-,0.5,,,prefix,,
half-,0.5,,,prefix,,
double-,2,,,prefix,,
triple-,3,,,prefix,,
treble-,3,,,prefix,,
kibi-,2^10,,In response to the convention of illegally,prefix,,
mebi-,2^20,,and confusingly using metric prefixes for,prefix,,
gibi-,2^30,,"powers of two, the International",prefix,,
tebi-,2^40,,Electrotechnical Commission aproved these,prefix,,
pebi-,2^50,,binary prefixes for use in 1998.  If you,prefix,,
exbi-,2^60,,"want to refer to ""megabytes"" using the",prefix,,
zebi-,2^70,,,prefix,,
yobi-,2^80,,,prefix,,
Ki-,kibi,,"binary definition, use these prefixes.",prefix,,
Mi-,mebi,,,prefix,,
Gi-,gibi,,,prefix,,
Ti-,tebi,,,prefix,,
Pi-,pebi,,,prefix,,
Ei-,exbi,,,prefix,,
Zi-,zebi,,,prefix,,
Yi-,yobi,,,prefix,,
Y-,yotta,,,prefix,,
Z-,zetta,,,prefix,,
E-,exa,,,prefix,,
P-,peta,,,prefix,,
T-,tera,,,prefix,,
G-,giga,,,prefix,,
M-,mega,,,prefix,,
k-,kilo,,,prefix,,
h-,hecto,,,prefix,,
da-,deka,,,prefix,,
d-,deci,,,prefix,,
c-,centi,,,prefix,,
m-,milli,,,prefix,,
u-,micro,,it should be a mu but u is easy to type,prefix,,
mu-,micro,,,prefix,,
n-,nano,,,prefix,,
p-,pico,,,prefix,,
f-,femto,,,prefix,,
a-,atto,,,prefix,,
z-,zepto,,,prefix,,
y-,yocto,,,prefix,,
one,1,,,numbers,,
two,2,,,numbers,,
double,2,,,numbers,,
couple,2,,,numbers,,
three,3,,,numbers,,
triple,3,,,numbers,,
four,4,,,numbers,,
quadruple,4,,,numbers,,
five,5,,,numbers,,
quintuple,5,,,numbers,,
six,6,,,numbers,,
seven,7,,,numbers,,
eight,8,,,numbers,,
nine,9,,,numbers,,
ten,10,,,numbers,,
eleven,11,,,numbers,,
twelve,12,,,numbers,,
thirteen,13,,,numbers,,
fourteen,14,,,numbers,,
fifteen,15,,,numbers,,
sixteen,16,,,numbers,,
seventeen,17,,,numbers,,
eighteen,18,,,numbers,,
nineteen,19,,,numbers,,
twenty,20,,,numbers,,
thirty,30,,,numbers,,
forty,40,,,numbers,,
fifty,50,,,numbers,,
sixty,60,,,numbers,,
seventy,70,,,numbers,,
eighty,80,,,numbers,,
ninety,90,,,numbers,,
hundred,100,,,numbers,,
thousand,1000,,,numbers,,
million,1e6,,,numbers,,
twoscore,score,two,,numbers,,
threescore,score,three,,numbers,,
fourscore,score,four,,numbers,,
fivescore,score,five,,numbers,,
sixscore,score,six,,numbers,,
sevenscore,score,seven,,numbers,,
eightscore,score,eight,,numbers,,
ninescore,score,nine,,numbers,,
tenscore,score,ten,,numbers,,
twelvescore,score,twelve,,numbers,,
shortbillion,1e9,,,numbers,,
shorttrillion,1e12,,,numbers,,
shortquadrillion,1e15,,,numbers,,
shortquintillion,1e18,,,numbers,,
shortsextillion,1e21,,,numbers,,
shortseptillion,1e24,,,numbers,,
shortoctillion,1e27,,,numbers,,
shortnonillion,1e30,,,numbers,,
shortnoventillion,shortnonillion,,,numbers,,
shortdecillion,1e33,,,numbers,,
shortundecillion,1e36,,,numbers,,
shortduodecillion,1e39,,,numbers,,
shorttredecillion,1e42,,,numbers,,
shortquattuordecillion,1e45,,,numbers,,
shortquindecillion,1e48,,,numbers,,
shortsexdecillion,1e51,,,numbers,,
shortseptendecillion,1e54,,,numbers,,
shortoctodecillion,1e57,,,numbers,,
shortnovemdecillion,1e60,,,numbers,,
shortvigintillion,1e63,,,numbers,,
centillion,1e303,,,numbers,,
googol,1e100,,,numbers,,
longbillion,million^2,,,numbers,,
longtrillion,million^3,,,numbers,,
longquadrillion,million^4,,,numbers,,
longquintillion,million^5,,,numbers,,
longsextillion,million^6,,,numbers,,
longseptillion,million^7,,,numbers,,
longoctillion,million^8,,,numbers,,
longnonillion,million^9,,,numbers,,
longnoventillion,longnonillion,,,numbers,,
longdecillion,million^10,,,numbers,,
longundecillion,million^11,,,numbers,,
longduodecillion,million^12,,,numbers,,
longtredecillion,million^13,,,numbers,,
longquattuordecillion,million^14,,,numbers,,
longquindecillion,million^15,,,numbers,,
longsexdecillion,million^16,,,numbers,,
longseptdecillion,million^17,,,numbers,,
longoctodecillion,million^18,,,numbers,,
longnovemdecillion,million^19,,,numbers,,
longvigintillion,million^20,,,numbers,,
milliard,million,1000,,numbers,,
billiard,million^2,1000,,numbers,,
trilliard,million^3,1000,,numbers,,
quadrilliard,million^4,1000,,numbers,,
quintilliard,million^5,1000,,numbers,,
sextilliard,million^6,1000,,numbers,,
septilliard,million^7,1000,,numbers,,
octilliard,million^8,1000,,numbers,,
nonilliard,million^9,1000,,numbers,,
noventilliard,nonilliard,,,numbers,,
decilliard,million^10,1000,,numbers,,
longmilliard,milliard,,,numbers,,
longbilliard,billiard,,,numbers,,
longtrilliard,trilliard,,,numbers,,
longquadrilliard,quadrilliard,,,numbers,,
longquintilliard,quintilliard,,,numbers,,
longsextilliard,sextilliard,,,numbers,,
longseptilliard,septilliard,,,numbers,,
longoctilliard,octilliard,,,numbers,,
longnonilliard,nonilliard,,,numbers,,
longnoventilliard,noventilliard,,,numbers,,
longdecilliard,decilliard,,,numbers,,
billion,shortbillion,,,numbers,,
trillion,shorttrillion,,,numbers,,
quadrillion,shortquadrillion,,,numbers,,
quintillion,shortquintillion,,,numbers,,
sextillion,shortsextillion,,,numbers,,
septillion,shortseptillion,,,numbers,,
octillion,shortoctillion,,,numbers,,
nonillion,shortnonillion,,,numbers,,
noventillion,shortnoventillion,,,numbers,,
decillion,shortdecillion,,,numbers,,
undecillion,shortundecillion,,,numbers,,
duodecillion,shortduodecillion,,,numbers,,
tredecillion,shorttredecillion,,,numbers,,
quattuordecillion,shortquattuordecillion,,,numbers,,
quindecillion,shortquindecillion,,,numbers,,
sexdecillion,shortsexdecillion,,,numbers,,
septendecillion,shortseptendecillion,,,numbers,,
octodecillion,shortoctodecillion,,,numbers,,
novemdecillion,shortnovemdecillion,,,numbers,,
vigintillion,shortvigintillion,,,numbers,,
lakh,1e5,,,numbers,,
crore,1e7,,,numbers,,
arab,1e9,,,numbers,,
kharab,1e11,,,numbers,,
neel,1e13,,,numbers,,
padm,1e15,,,numbers,,
shankh,1e17,,,numbers,,
US,m/ft,1200|3937,These four values will convert,us,,
US-,US,,international measures to,us,,
survey-,US,,US Survey measures,us,,
geodetic-,US,,,us,,
int,ft/m,3937|1200,Convert US Survey measures to,us,,
int-,int,,international measures,us,,
yard,ft,3,,us,,
yd,yard,,,us,,
mile,ft,5280,The mile was enlarged from 5000 ft,us,,
line,inch,1|12,Also defined as '.1 in' or as '1e-8 Wb',us,,
rod,yard,5.5,,us,,
perch,rod,,,us,,
furlong,rod,40,"From ""furrow long""",us,,
statutemile,mile,,,us,,
league,mile,3,Intended to be an an hour's walk,us,,
surveyorschain,surveyft,66,,us,,
surveychain,surveyorschain,,,us,,
surveyorspole,surveyorschain,1|4,,us,,
surveyorslink,surveyorschain,1|100,,us,,
chain,ft,66,,us,,
link,chain,1|100,,us,,
ch,chain,,,us,,
USacre,surveychain^2,10,,us,,
intacre,chain^2,10,Acre based on international ft,us,,
intacrefoot,foot,acre,,us,,
USacrefoot,surveyfoot,USacre,,us,,
acrefoot,intacrefoot,,,us,,
acre,intacre,,,us,,
section,mile^2,,,us,,
township,section,36,,us,,
homestead,acre,160,Area of land granted by the 1862 Homestead,us,,
gunterschain,surveyorschain,,,us,,
engineerschain,ft,100,,us,,
engineerslink,engineerschain,1|100,,us,,
ramsdenschain,engineerschain,,,us,,
ramsdenslink,engineerslink,,,us,,
gurleychain,feet,33,Andrew Ellicott chain is the,us,,
gurleylink,gurleychain,1|50,same length,us,,
wingchain,feet,66,"Chain from 1664, introduced by",us,,
winglink,wingchain,1|80,"Vincent Wing, also found in a",us,,
troughtonyard,mm,914.42190,,us,,
bronzeyard11,mm,914.39980,,us,,
mendenhallyard,surveyyard,,,us,,
internationalyard,yard,,,us,,
fathom,ft,6,Originally defined as the distance from,us,,
nauticalmile,m,1852,Supposed to be one minute of latitude at,us,,
cable,nauticalmile,1|10,,us,,
intcable,cable,,international cable,us,,
cablelength,cable,,,us,,
UScable,USfathom,100,,us,,
navycablelength,USft,720,used for depth in water,us,,
marineleague,nauticalmile,3,,us,,
geographicalmile,brnauticalmile,,,us,,
click,km,,US military slang,us,,
klick,click,,,us,,
pound,kg,0.45359237,The one normally used,us,,
lb,pound,,From the latin libra,us,,
grain,pound,1|7000,The grain is the same in all three,us,,
ounce,pound,1|16,,us,,
oz,ounce,,,us,,
dram,ounce,1|16,,us,,
dr,dram,,,us,,
ushundredweight,pounds,100,,us,,
cwt,hundredweight,,,us,,
shorthundredweight,ushundredweight,,,us,,
uston,shortton,,,us,,
shortton,lb,2000,,us,,
quarterweight,uston,1|4,,us,,
shortquarterweight,shortton,1|4,,us,,
shortquarter,shortquarterweight,,,us,,
troypound,grain,5760,,us,,
troyounce,troypound,1|12,,us,,
ozt,troyounce,,,us,,
pennyweight,troyounce,1|20,"Abbreviated ""d"" in reference to a",us,,
dwt,pennyweight,,"Frankish coin called the ""denier""",us,,
fineounce,troyounce,,A troy ounce of 99.5% pure gold,us,,
metriccarat,gram,0.2,Defined in 1907,us,,
metricgrain,mg,50,,us,,
